constituency,category,state,winning_candidate,party,electors,votes,turnout_pct,margin,margin_pct,year
Tamluk,GEN,West Bengal,Adhikari Dibyendu,All India Trinamool Congress,1839886,1446499,79.2,190165.0,13.1,2019
Tehri Garhwal,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,1439343,876069,61.3,300586.0,34.3,2019
Tenkasi,SC,Tamil Nadu,Dhanush.M.Kumar,Dravida Munetra Kazhagam,1472742,1065569,73.3,120286.0,11.3,2019
Tezpur,GEN,Assam,Pallab Lochan Das,Bharatiya Janta Party,1437189,1190196,83.9,242841.0,20.4,2019
Thane,GEN,Maharashtra,Rajan Baburao Vichare,Shiv Sena,2178348,1170518,54.7,412145.0,35.2,2019
Thanjavur,GEN,Tamil Nadu,"Palanimanickam,s.S.",Dravida Munetra Kazhagam,1443417,1059223,74.4,368129.0,34.8,2019
Theni,GEN,Tamil Nadu,"Raveendranath Kumar, P",All India Anna Dravida Munnetra Kazhagam,1800597,1173489,65.8,76693.0,6.5,2019
Thiruvallur,SC,Tamil Nadu,Dr.K.Jayakumar,Indian National Congress,1882738,1408189,75.8,356955.0,25.3,2019
Thiruvananthap,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1330409,1010180,76.3,99989.0,9.9,2019
Thoothukkudi,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munetra Kazhagam,1402826,991263,71.3,347209.0,35.0,2019
Thrissur,GEN,Kerala,T. N. Prathapan,Indian National Congress,1268671,1041869,82.5,93633.0,9.0,2019
Tikamgarh,SC,Madhya Pradesh [2000 Onwards],Dr Virendra Kumar,Bharatiya Janta Party,1717393,1096712,64.5,348059.0,31.7,2019
Tiruchirappall,GEN,Tamil Nadu,Thirunavukkarasar. Su,Indian National Congress,1489425,1048062,71.3,459286.0,43.8,2019
Tirunelveli,GEN,Tamil Nadu,Gnanathiraviam S,Dravida Munetra Kazhagam,1526692,1039761,68.8,185457.0,17.8,2019
Tirupati,,Andhra Pradesh [2014 Onwards],Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,1509361,1313515,88.7,228376.0,17.4,2019
Tiruppur,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,1490562,1119584,76.6,93368.0,8.3,2019
Tiruvannamalai,GEN,Tamil Nadu,Annadurai C N,Dravida Munetra Kazhagam,1431287,1151729,81.3,304187.0,26.4,2019
Tonk-Sawai Mad,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,1893418,1233458,65.6,111291.0,9.0,2019
Tripura East,ST,Tripura,Rebati Tripura,Bharatiya Janta Party,1173233,1045417,90.1,204290.0,19.5,2019
Tripura West,GEN,Tripura,Pratima Bhoumik,Bharatiya Janta Party,1285794,1107755,87.1,305689.0,27.6,2019
Tumkur,GEN,Karnataka,G. S. Basavaraj,Bharatiya Janta Party,1584884,1244858,79.2,13339.0,1.1,2019
Tura,ST,Meghalaya,Agatha K. Sangma,National People's Party,692353,583041,85.1,64030.0,11.0,2019
Udaipur,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,2008400,1454518,73.8,437914.0,30.1,2019
Udhampur,,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244,1180123,79.7,357252.0,30.3,2019
Udupi Chikmaga,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,1495439,1151012,77.5,349599.0,30.4,2019
Ujiarpur,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,1588209,969284,61.9,277278.0,28.6,2019
Ujjain,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,1624122,1252511,77.8,365637.0,29.2,2019
Uluberia,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,1775607,1311099,74.4,215359.0,16.4,2019
Unnao,GEN,Uttar Pradesh [2000 Onwards],Swami Sakshi Ji Maharaj,Bharatiya Janta Party,2160607,1237076,57.8,400956.0,32.4,2019
Uttara Kannada,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1535047,1153480,76.2,479649.0,41.6,2019
Vadakara,GEN,Kerala,K. Muraleedharan,Indian National Congress,1207556,1065619,88.5,84663.0,7.9,2019
Vadodara,GEN,Gujarat,Ranjanben Bhatt,Bharatiya Janta Party,1707484,1222348,72.6,589177.0,48.2,2019
Vaishali,GEN,Bihar [2000 Onwards],Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,1721658,1074730,63.0,234584.0,21.8,2019
Valmiki Nagar,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),1641701,1032090,65.0,354616.0,34.4,2019
Valsad,ST,Gujarat,Dr.K.C.Patel,Bharatiya Janta Party,1628352,1260377,78.6,353797.0,28.1,2019
Varanasi,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1784093,1060476,59.7,479505.0,45.2,2019
Vidisha,GEN,Madhya Pradesh [2000 Onwards],Ramakant Bhargava,Bharatiya Janta Party,1700678,1250244,74.0,503084.0,40.2,2019
Vijayawada,,Andhra Pradesh [2014 Onwards],Kesineni Srinivas (NANI),Telugu Desam,1362762,1277711,94.4,8726.0,0.7,2019
Viluppuram,SC,Tamil Nadu,Ravikumar D,Dravida Munetra Kazhagam,1400389,1135540,81.9,128068.0,11.3,2019
Virudhunagar,GEN,Tamil Nadu,"Manickam Tagore, B.",Indian National Congress,1461240,1074735,74.7,154554.0,14.4,2019
Visakhapatnam,,Andhra Pradesh [2014 Onwards],M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,1534088,1239754,81.9,4414.0,0.4,2019
Vizianagaram,,Andhra Pradesh [2014 Onwards],Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,1380455,1217890,90.4,48036.0,3.9,2019
Warangal,SC,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,1578335,1061645,68.5,350298.0,33.0,2019
Wardha,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1679788,1072570,64.2,187191.0,17.5,2019
Wayanad,GEN,Kerala,Rahul Gandhi,Indian National Congress,1306141,1092197,83.8,431770.0,39.5,2019
West Delhi,GEN,Delhi [1977 Onwards],Sant Prasad Sinha,Bharatiya Janta Party,2039410,1441601,71.1,578486.0,40.1,2019
Yavatmal-Washi,GEN,Maharashtra,Bhavana Pundlikrao Gawali,Shiv Sena,1812059,1174220,65.0,117939.0,10.0,2019
Zahirabad,GEN,Telangana,B.B.Patil,Telangana Rashtra Samithi,1411026,1044365,74.8,6229.0,0.6,2019
Adilabad,ST,Telangana,Godam Nagesh,Bharatiya Janta Party,1650175,1235597,74.9,90652.0,7.3,2024
Agra,SC,Uttar Pradesh [2000 Onwards],Prof S P Singh Baghel,Bharatiya Janta Party,2072685,1123779,54.2,271294.0,24.1,2024
Ahmadnagar,GEN,Maharashtra,Nilesh Dnyandev Lanke,Nationalist Congress Party – Sharadchandra Pawar,1981866,1325477,66.9,28929.0,2.2,2024
Ahmedabad East,GEN,Gujarat,Hasmukhbhai Patel (H.S.PATEL),Bharatiya Janta Party,2038162,1128339,55.4,461755.0,40.9,2024
Ahmedabad West,SC,Gujarat,Dineshbhai Makwana (ADVOCATE),Bharatiya Janta Party,1726987,966646,56.0,286437.0,29.6,2024
Ajmer,GEN,Rajasthan,Bhagirath Choudhary,Bharatiya Janta Party,1995699,1201179,60.2,329991.0,27.5,2024
Akbarpur,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh Alias Bhole Singh,Bharatiya Janta Party,1869167,1086953,58.2,44345.0,4.1,2024
Akola,GEN,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janta Party,1890814,1173072,62.0,40626.0,3.5,2024
Alappuzha,GEN,Kerala,K. C Venugopal,Indian National Congress,1400082,1058703,75.6,63513.0,6.0,2024
