Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Hibi Eden,ERNAKULAM,INC,10,Graduate,34000696,4454363,2024
K E Prakash,ERODE,DMK,0,Graduate,0,0,2024
Devesh Shakya,ETAH,SP,1,Post Graduate,34061340,442323,2024
Jitendra Kumar Dohare,ETAWAH (SC),SP,0,12th Pass,62250170,3168054,2024
Awadhesh Prasad,FAIZABAD,SP,1,Post Graduate,52967071,1000000,2024
Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,625815843,39847197,2024
Sarabjeet Singh Khalsa,FARIDKOT (SC),IND,0,10th Pass,0,0,2024
Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,93680840,0,2024
Amar Singh,FATEHGARH SAHIB (SC),INC,0,Post Graduate,54280612,0,2024
Naresh Chandra Uttam Patel,FATEHPUR,SP,0,Post Graduate,49348208,0,2024
Rajkumar Chahar,FATEHPUR SIKRI,BJP,2,Graduate,34176612,1964321,2024
Akshaya Yadav,FIROZABAD,SP,3,Graduate Professional,0,0,2024
Sher Singh Ghubaya,FIROZPUR,INC,0,10th Pass,91161885,4378380,2024
Dr. Kirsan Namdeo,GADCHIROLI - CHIMUR (ST),INC,0,Doctorate,59476042,2828488,2024
Amit Shah,GANDHINAGAR,BJP,3,12th Pass,656712498,4209587,2024
Kuldeep Indora,GANGANAGAR (SC),INC,0,Post Graduate,137189112,17537144,2024
Anil Baluni,GARHWAL,BJP,0,Graduate,0,0,2024
Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,838209103,22689478,2024
Jitan Ram Manjhi,GAYA (SC),Hindustani Awam Morcha (Secular),6,Graduate,3020578,0,2024
Adhikari Deepak (Dev),GHATAL,AITC,0,Others,371347069,28603907,2024
Atul Garg,GHAZIABAD,BJP,0,12th Pass,269782311,12901326,2024
Afzal Ansari,GHAZIPUR,SP,5,Post Graduate,0,0,2024
Rajeev Rai,GHOSI,SP,1,Doctorate,494188267,62952119,2024
Chandra Prakash Choudhary,GIRIDIH,AJSU Party,2,Graduate,49849182,27031670,2024
Nishikant Dubey,GODDA,BJP,8,Doctorate,746974208,82800000,2024
