candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Kanumuru Bapiraju,INC,71.0,Andhra Pradesh,1,10th Pass,0,0,2019
Kanumuru Raghu Rama Krishna Raju,YSRCP,57.0,Andhra Pradesh,3,Post Graduate,3259405378,1014467354,2019
Karimulla Khan Pattan,Navataram Party,40.0,Andhra Pradesh,0,Post Graduate,1677823,0,2019
Karra Siva,Pyramid Party of India,,Andhra Pradesh,0,12th Pass,15000,0,2019
Kasula Rajasekhar,Pyramid Party of India,46.0,Andhra Pradesh,0,10th Pass,4650560,1808144,2019
Kattamanchi Prabhakar,IND,51.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Kattepogu Vijay Kumar,Pyramid Party of India,53.0,Andhra Pradesh,0,5th Pass,454000,0,2019
Kavuri Venu Babu Naidu,IND,41.0,Andhra Pradesh,0,10th Pass,2291000,1050000,2019
Khader Valli Shaik,IUML,35.0,Andhra Pradesh,0,10th Pass,25648000,444000,2019
Kommireddy Prabhakar Reddy,CPI(M),58.0,Andhra Pradesh,1,Graduate Professional,1659077,85000,2019
Konakalla Narayana Rao,TDP,68.0,Andhra Pradesh,0,12th Pass,0,0,2019
Konda Praveen Kumar,Navodayam Party,45.0,Andhra Pradesh,0,10th Pass,20000,0,2019
Kothapalli Geetha,IND,48.0,Andhra Pradesh,1,Post Graduate,86754722,2394398,2019
Kotla Jaya Surya Prakash Reddy,TDP,67.0,Andhra Pradesh,0,Graduate,174762674,1450000,2019
Kovvuri Surya Bhavani,Pyramid Party of India,38.0,Andhra Pradesh,0,8th Pass,1710000,0,2019
Kuruva Gorantla Madhav,YSRCP,50.0,Andhra Pradesh,2,Graduate,0,0,2019
Kuruvella Bhanu Chandar,IND,34.0,Andhra Pradesh,0,10th Pass,40000,0,2019
Lakshmi Narasaiah Jangiti,INC,33.0,Andhra Pradesh,0,Post Graduate,3305200,877441,2019
