Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
302,Thomas Chazhikadan,KOTTAYAM,Kerala Congress (M),0,Graduate Professional,"Rs 2,60,27,478  ~ 2 Crore+","Rs 4,95,778  ~ 4 Lacs+"
303,M.K.Raghavan,KOZHIKODE,INC,1,Graduate,"Rs 1,25,02,009  ~ 1 Crore+","Rs 31,74,805  ~ 31 Lacs+"
304,Dr.A.Chellakumar,KRISHNAGIRI,INC,5,Post Graduate,"Rs 12,10,87,979  ~ 12 Crore+","Rs 6,68,17,959  ~ 6 Crore+"
305,Mahua Moitra,KRISHNANAGAR,AITC,0,Graduate,,
306,Dr Sanjeev Kumar,KURNOOL,YSRCP,0,Post Graduate,"Rs 32,59,14,387  ~ 32 Crore+","Rs 6,20,70,621  ~ 6 Crore+"
307,Nayab Singh,KURUKSHETRA,BJP,0,Graduate Professional,"Rs 3,57,85,621  ~ 3 Crore+","Rs 57,20,000  ~ 57 Lacs+"
308,Vijay Kumar Dubey,KUSHI NAGAR,BJP,2,12th Pass,"Rs 2,18,60,780  ~ 2 Crore+","Rs 3,16,847  ~ 3 Lacs+"
309,Tsering Namgyal,LADAKH,BJP,1,Graduate,"Rs 9,81,904  ~ 9 Lacs+",Rs 0  ~
310,Pradan Baruah,LAKHIMPUR,BJP,0,12th Pass,,
311,Mohammed Faizal Pp,LAKSHADWEEP,NCP,2,Post Graduate,"Rs 9,38,641  ~ 9 Lacs+",Rs 0  ~
312,Sangeeta Azad,LALGANJ,BSP,0,Graduate Professional,"Rs 8,84,51,770  ~ 8 Crore+",Rs 0  ~
313,Sudhakar Tukaram Shrangare,LATUR,BJP,0,10th Pass,"Rs 28,64,78,302  ~ 28 Crore+","Rs 10,02,50,602  ~ 10 Crore+"
314,Sudarshan Bhagat,LOHARDAGA,BJP,0,Graduate,"Rs 1,29,47,303  ~ 1 Crore+","Rs 5,25,000  ~ 5 Lacs+"
315,Rajnath Singh,LUCKNOW,BJP,0,Post Graduate,,
316,Ravneet Singh Bittu,LUDHIANA,INC,3,12th Pass,"Rs 5,42,81,096  ~ 5 Crore+","Rs 33,31,266  ~ 33 Lacs+"
