Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
Yogesh Vitthal More,Bahujan Republican Socialist Party,0,Graduate Professional,38,"Rs 1,06,12,636  ~ 1 Crore+","Rs 1,57,000  ~ 1 Lacs+",Maharashtra
Yuvraj Bhimrao Desai,IND,0,Post Graduate,35,"Rs 28,35,000  ~ 28 Lacs+","Rs 31,00,000  ~ 31 Lacs+",Maharashtra
Yuvraj Prakash Bhujbal,Jan Adhikar Party,0,Others,33,"Rs 6,17,200  ~ 6 Lacs+",Rs 0  ~,Maharashtra
Zambad Subhash Manakchand,INC,0,12th Pass,56,,,Maharashtra
Zitruji Chandruji Borutkar,IND,0,Graduate Professional,63,"Rs 1,95,28,934  ~ 1 Crore+","Rs 16,00,000  ~ 16 Lacs+",Maharashtra
Angam Karung Kom,NCP,0,Graduate,63,"Rs 4,70,000  ~ 4 Lacs+","Rs 14,60,000  ~ 14 Lacs+",Manipur
Ashang Kasar,North East India Development Party,0,Post Graduate,43,"Rs 1,35,63,720  ~ 1 Crore+",Rs 0  ~,Manipur
Dr Rajkumar Ranjan Singh,BJP,0,Doctorate,67,"Rs 1,96,16,174  ~ 1 Crore+",Rs 0  ~,Manipur
Dr. Gurumayum Tonsana Sharma,Manipur Democratic Peoples Front,0,Doctorate,69,"Rs 1,24,52,000  ~ 1 Crore+",Rs 0  ~,Manipur
Hangkhanpau Taithul,JD(U),0,Post Graduate,55,,,Manipur
Houlim Shokhopao Mate,BJP,0,12th Pass,36,"Rs 1,68,91,558  ~ 1 Crore+",Rs 0  ~,Manipur
K. James,INC,2,Graduate,56,"Rs 12,91,98,371  ~ 12 Crore+","Rs 2,18,39,605  ~ 2 Crore+",Manipur
Leikhan Kaipu,IND,0,8th Pass,54,"Rs 56,020  ~ 56 Thou+",Rs 0  ~,Manipur
Lorho S. Pfoze,NPF,0,Graduate Professional,59,"Rs 1,37,09,352  ~ 1 Crore+",Rs 0  ~,Manipur
Md. Iliyash Khan,IND,0,12th Pass,34,,,Manipur
Moirangthem Nara Singh,CPI,0,Graduate Professional,69,"Rs 35,58,822  ~ 35 Lacs+","Rs 55,89,692  ~ 55 Lacs+",Manipur
Moirangthem Totomshana Nongshaba,IND,0,12th Pass,41,"Rs 1,500  ~ 1 Thou+",Rs 0  ~,Manipur
Oinam Jugindro Singh,Manipur Peoples Party,1,12th Pass,68,"Rs 27,31,288  ~ 27 Lacs+",Rs 0  ~,Manipur
Oinam Nabakishore Singh,INC,1,Post Graduate,59,"Rs 1,78,67,003  ~ 1 Crore+","Rs 14,01,257  ~ 14 Lacs+",Manipur
R.K. Anand,North East India Development Party,0,Graduate Professional,59,,,Manipur
Rajkumar Somendro Singh,IND,0,10th Pass,40,"Rs 30,02,505  ~ 30 Lacs+","Rs 6,30,405  ~ 6 Lacs+",Manipur
Senjam Nandeshwore Singh,Rashtriya Janhit Sangharsh Party,0,Graduate,60,"Rs 22,58,269  ~ 22 Lacs+",Rs 0  ~,Manipur
Thangminlien Kipgen,NPP,0,12th Pass,64,"Rs 66,63,739  ~ 66 Lacs+","Rs 5,75,332  ~ 5 Lacs+",Manipur
Wahengbam Pobitra Singh,IND,1,12th Pass,42,"Rs 1,30,022  ~ 1 Lacs+","Rs 52,379  ~ 52 Thou+",Manipur
Agatha K. Sangma,NPP,0,Post Graduate,38,"Rs 2,94,06,813  ~ 2 Crore+",Rs 0  ~,Meghalaya
Dr. Mukul Sangma,INC,0,Graduate Professional,53,"Rs 13,67,35,735  ~ 13 Crore+","Rs 34,08,159  ~ 34 Lacs+",Meghalaya
Jemino Mawthoh,United Democratic Party,0,Doctorate,54,"Rs 1,14,32,184  ~ 1 Crore+","Rs 11,78,370  ~ 11 Lacs+",Meghalaya
Rikman Garrey Momin,BJP,0,Others,55,"Rs 10,25,030  ~ 10 Lacs+",Rs 0  ~,Meghalaya
Romeo Phira Rani,IND,0,12th Pass,51,,,Meghalaya
Samuel Hashah,IND,0,12th Pass,32,"Rs 2,05,000  ~ 2 Lacs+",Rs 0  ~,Meghalaya
Sanbor Shullai,BJP,0,10th Pass,52,"Rs 6,61,68,175  ~ 6 Crore+",Rs 0  ~,Meghalaya
T.H.S. Bonney,IND,0,Post Graduate,58,"Rs 5,37,58,447  ~ 5 Crore+","Rs 12,69,345  ~ 12 Lacs+",Meghalaya
Vincent H. Pala,INC,0,Graduate Professional,51,"Rs 54,95,15,421  ~ 54 Crore+",Rs 0  ~,Meghalaya
C Lalrosanga,MNF,0,Graduate,62,"Rs 13,12,01,374  ~ 13 Crore+",Rs 0  ~,Mizoram
Lal Hriatrenga Chhangte,IND,0,Graduate Professional,54,"Rs 1,34,99,370  ~ 1 Crore+","Rs 25,00,000  ~ 25 Lacs+",Mizoram
Lalnghinglova Hmar,IND,0,Post Graduate,41,"Rs 1,38,91,235  ~ 1 Crore+","Rs 60,00,000  ~ 60 Lacs+",Mizoram
Lalthlamuani,IND,0,Illiterate,63,"Rs 44,35,455  ~ 44 Lacs+","Rs 5,00,000  ~ 5 Lacs+",Mizoram
Nirupam Chakma,BJP,0,Graduate Professional,59,,,Mizoram
Tbc Lalvenchhunga,PRISM Party,0,10th Pass,36,"Rs 77,24,713  ~ 77 Lacs+","Rs 21,45,065  ~ 21 Lacs+",Mizoram
Dr. M M Thromwa Konyak,IND,0,Doctorate,40,"Rs 11,00,000  ~ 11 Lacs+",Rs 0  ~,Nagaland
Hayithung Tungoe,NPP,0,Post Graduate,38,"Rs 12,65,882  ~ 12 Lacs+",Rs 0  ~,Nagaland
K L Chishi,INC,0,Graduate Professional,75,"Rs 37,01,59,329  ~ 37 Crore+",Rs 0  ~,Nagaland
Tokheho Yepthomi,Nationalist Democratic Progressive Party,0,Graduate,62,"Rs 12,81,17,474  ~ 12 Crore+","Rs 1,86,00,000  ~ 1 Crore+",Nagaland
Abdul Khader Haji,BJP,0,5th Pass,70,"Rs 3,88,24,182  ~ 3 Crore+",Rs 0  ~,National Capital of Delhi
Ali Akbar K.,CPI,0,10th Pass,31,"Rs 5,000  ~ 5 Thou+",Rs 0  ~,National Capital of Delhi
Dr. Mohammed Sadique Kp,JD(U),0,Post Graduate,46,"Rs 4,97,83,111  ~ 4 Crore+","Rs 28,87,460  ~ 28 Lacs+",National Capital of Delhi
Mohammed Faizal Pp,NCP,2,Post Graduate,43,"Rs 9,38,641  ~ 9 Lacs+",Rs 0  ~,National Capital of Delhi
Muhammed Hamdullah Sayeed,INC,0,Graduate Professional,36,,,National Capital of Delhi
Shareef Khan,CPI(M),3,10th Pass,39,"Rs 22,68,712  ~ 22 Lacs+",Rs 0  ~,National Capital of Delhi
Achyutananda Samanta,BJD,0,Doctorate,55,"Rs 12,44,722  ~ 12 Lacs+",Rs 0  ~,Odisha
Akshaya Kumar Kar,Krupaa Party,0,Graduate,59,"Rs 3,50,77,797  ~ 3 Crore+",Rs 0  ~,Odisha
Amir Nayak,BSP,0,Post Graduate,36,Nil,Rs 0  ~,Odisha
Amiya Kanta Mallick,BJP,1,10th Pass,61,"Rs 2,45,85,630  ~ 2 Crore+","Rs 12,46,347  ~ 12 Lacs+",Odisha
Ananta Nayak,BJP,1,12th Pass,49,,,Odisha
Anil Kumar Behera,Freethought Party of India,0,12th Pass,29,"Rs 8,002  ~ 8 Thou+",Rs 0  ~,Odisha
Anita Subhadarshini,BJP,0,Post Graduate,47,"Rs 1,61,75,950  ~ 1 Crore+","Rs 1,79,25,000  ~ 1 Crore+",Odisha
Anjani Soren,JMM,0,12th Pass,47,"Rs 2,82,47,881  ~ 2 Crore+","Rs 71,96,331  ~ 71 Lacs+",Odisha
Anubhav Mohanty,BJD,0,Graduate,37,"Rs 2,23,09,172  ~ 2 Crore+","Rs 41,33,506  ~ 41 Lacs+",Odisha
Aparajita Sarangi,BJP,0,Graduate,49,,,Odisha
Arup Mohan Patnaik,BJD,0,Graduate Professional,63,"Rs 9,27,00,106  ~ 9 Crore+","Rs 2,70,000  ~ 2 Lacs+",Odisha
Ashok Pradhan,IND,0,5th Pass,54,"Rs 21,51,160  ~ 21 Lacs+","Rs 40,000  ~ 40 Thou+",Odisha
Ashutosh Kumar Hanuman,Bharat Prabhat Party,0,Post Graduate,29,"Rs 50,690  ~ 50 Thou+",Rs 0  ~,Odisha
Atma Ram Supkar,Pragatisheel Samaj Party,0,10th Pass,60,"Rs 3,93,40,660  ~ 3 Crore+",Rs 0  ~,Odisha
Avimanyu Sethi,BJP,0,Post Graduate,49,,,Odisha
Baijayant Panda,BJP,5,Graduate Professional,55,"Rs 57,44,15,842  ~ 57 Crore+","Rs 6,00,000  ~ 6 Lacs+",Odisha
Balabhadra Majhi,BJP,0,Graduate,58,"Rs 8,74,71,475  ~ 8 Crore+","Rs 26,21,246  ~ 26 Lacs+",Odisha
Banamali Majhi,Ambedkarite Party of India,0,Post Graduate,45,"Rs 1,70,000  ~ 1 Lacs+",Rs 0  ~,Odisha
Basanta Kumar Panda,BJP,3,12th Pass,58,"Rs 95,47,000  ~ 95 Lacs+",Rs 0  ~,Odisha
Basantalata Pattanayak,IND,0,Post Graduate,66,,,Odisha
Basil Ekka,AAP,0,10th Pass,50,"Rs 11,93,388  ~ 11 Lacs+","Rs 10,00,000  ~ 10 Lacs+",Odisha
Bhakta Charan Das,INC,3,Graduate Professional,60,"Rs 1,61,54,671  ~ 1 Crore+","Rs 80,44,387  ~ 80 Lacs+",Odisha
Bhakta Sekhar Ray,Kalinga Sena,1,10th Pass,39,"Rs 44,06,894  ~ 44 Lacs+","Rs 1,94,439  ~ 1 Lacs+",Odisha
Bharat Chandra Singh,Bahujan Mukti Party,0,10th Pass,43,"Rs 5,54,565  ~ 5 Lacs+","Rs 8,56,688  ~ 8 Lacs+",Odisha
Bhartruhari Mahtab,BJD,0,Post Graduate,62,,,Odisha
Bhaskar Mutuka,BSP,0,Graduate Professional,61,"Rs 3,16,000  ~ 3 Lacs+",Rs 0  ~,Odisha
Bhimasen Behera,Freethought Party of India,1,Graduate Professional,54,"Rs 8,51,718  ~ 8 Lacs+",Rs 100  ~ 1 Hund+,Odisha
Bhrugu Baxipatra,BJP,4,Graduate Professional,44,"Rs 3,10,44,317  ~ 3 Crore+","Rs 16,50,465  ~ 16 Lacs+",Odisha
Bibhu Prasad Tarai,BJP,0,Post Graduate,55,"Rs 54,05,384  ~ 54 Lacs+","Rs 5,50,000  ~ 5 Lacs+",Odisha
Bibhuti Bhusan Majhi,BSP,0,Post Graduate,47,,,Odisha
Bijaya Kumar Behera,Ambedkarite Party of India,0,Graduate,48,"Rs 25,54,667  ~ 25 Lacs+","Rs 4,32,000  ~ 4 Lacs+",Odisha
Binay Ocean,Ambedkarite Party of India,0,Post Graduate,27,"Rs 87,000  ~ 87 Thou+","Rs 62,000  ~ 62 Thou+",Odisha
Bishweswar Tudu,BJP,1,10th Pass,54,"Rs 27,42,000  ~ 27 Lacs+","Rs 4,00,000  ~ 4 Lacs+",Odisha
Biswajit Goswami,Kalinga Sena,0,Graduate,27,"Rs 87,412  ~ 87 Thou+","Rs 1,39,555  ~ 1 Lacs+",Odisha
Biswanath Ramachandra,Freethought Party of India,0,Post Graduate,75,,,Odisha
Biswanath Rout,Krupaa Party,0,Post Graduate,61,"Rs 42,50,149  ~ 42 Lacs+",Rs 0  ~,Odisha
Brundaban Das Ajad,IND,3,5th Pass,55,"Rs 12,55,503  ~ 12 Lacs+",Rs 0  ~,Odisha
Chakradhar Sahu,IND,0,12th Pass,62,"Rs 1,00,71,000  ~ 1 Crore+",Rs 0  ~,Odisha
Chakradhar Sahu,IND,0,12th Pass,62,"Rs 1,00,71,000  ~ 1 Crore+",Rs 0  ~,Odisha
Chandra Sekhar Sahu,BJD,0,10th Pass,68,,,Odisha
Chandradhwaj Majhi,BSP,0,Graduate,59,"Rs 21,42,479  ~ 21 Lacs+",Rs 0  ~,Odisha
Chandrani Murmu,BJD,0,Graduate Professional,25,"Rs 3,40,580  ~ 3 Lacs+",Rs 0  ~,Odisha
Chhabilal Nial,Ambedkarite Party of India,0,Graduate Professional,42,"Rs 23,15,608  ~ 23 Lacs+","Rs 1,04,000  ~ 1 Lacs+",Odisha
Damodara Sabar,CPI(ML)(L),0,8th Pass,67,"Rs 15,000  ~ 15 Thou+",Rs 0  ~,Odisha
Dayananda Bhitria,Hindusthan Nirman Dal,0,10th Pass,52,,,Odisha
Dharanidhar Nayak,INC,0,Post Graduate,65,"Rs 4,08,21,148  ~ 4 Crore+","Rs 31,35,045  ~ 31 Lacs+",Odisha
Dinesh Nag,Ambedkarite Party of India,0,Graduate Professional,49,"Rs 18,19,971  ~ 18 Lacs+","Rs 10,50,000  ~ 10 Lacs+",Odisha
Dipak Kumar Das,Akhil Bharat Hindu Mahasabha,0,Graduate,32,"Rs 20,07,000  ~ 20 Lacs+",Rs 0  ~,Odisha
Dr Bipin Kusulia,IND,0,Doctorate,50,"Rs 13,47,042  ~ 13 Lacs+",Rs 0  ~,Odisha
Dr Debashis Marndi,BJD,0,Graduate Professional,41,,,Odisha
Dr. Sudarshan Lohar,Rashtriya Indepndent Morcha,0,Graduate Professional,72,"Rs 45,80,900  ~ 45 Lacs+",Rs 0  ~,Odisha
Durga Chandra Pingua,BSP,0,10th Pass,31,"Rs 13,55,000  ~ 13 Lacs+","Rs 80,000  ~ 80 Thou+",Odisha
George Tirkey,INC,41,12th Pass,60,"Rs 9,01,058  ~ 9 Lacs+",Rs 0  ~,Odisha
Haji Sk Abdul Istar,AITC,0,Graduate Professional,51,"Rs 25,21,000  ~ 25 Lacs+",Rs 0  ~,Odisha
Hatiram Durga,IND,0,12th Pass,35,,,Odisha
Hrudananda Karuan,SUCI(C),0,Graduate,39,"Rs 26,81,796  ~ 26 Lacs+",Rs 0  ~,Odisha
Jadunath Sethi,IND,0,Graduate,47,"Rs 30,71,295  ~ 30 Lacs+",Rs 0  ~,Odisha
Jagannath Das,IND,0,Graduate,44,"Rs 11,54,900  ~ 11 Lacs+",Rs 0  ~,Odisha
Jagannath Megh,Jai Prakash Janata Dal,0,Graduate,63,"Rs 2,30,000  ~ 2 Lacs+","Rs 1,00,000  ~ 1 Lacs+",Odisha
Janardan Pati,CPI(M),1,Graduate Professional,71,,,Odisha
Jayant Kumar Das,IND,0,Others,43,"Rs 55,58,206  ~ 55 Lacs+","Rs 22,00,000  ~ 22 Lacs+",Odisha
Jayaprakash Sethi,Akhil Bharat Hindu Mahasabha,0,10th Pass,39,"Rs 3,13,000  ~ 3 Lacs+","Rs 19,500  ~ 19 Thou+",Odisha
Jayaram Pangi,BJP,0,10th Pass,63,"Rs 4,19,44,825  ~ 4 Crore+","Rs 42,00,000  ~ 42 Lacs+",Odisha
Jual Oram,BJP,2,Others,58,"Rs 7,41,85,014  ~ 7 Crore+","Rs 1,27,43,330  ~ 1 Crore+",Odisha
Justin Lugun,SUCI(C),0,10th Pass,43,,,Odisha
K. Shyambabu Subudhi,IND,0,12th Pass,83,"Rs 10,000  ~ 10 Thou+",Rs 0  ~,Odisha
K. Shyambabu Subudhi,IND,0,12th Pass,83,"Rs 1,000  ~ 1 Thou+",Rs 0  ~,Odisha
Kalikesh Narayan Singh Deo,BJD,0,Graduate,45,"Rs 20,48,95,169  ~ 20 Crore+","Rs 1,33,42,386  ~ 1 Crore+",Odisha
Kamalini Yadav,Bahujan Mukti Party,0,10th Pass,43,"Rs 5,39,221  ~ 5 Lacs+","Rs 1,98,800  ~ 1 Lacs+",Odisha
Kanhu Charan Sanbad,IND,0,10th Pass,65,,,Odisha
Kausalya Hikaka,BJD,0,12th Pass,33,"Rs 4,06,17,427  ~ 4 Crore+",Rs 0  ~,Odisha
Kirtan Bihari Malik,SUCI(C),0,10th Pass,65,"Rs 2,75,400  ~ 2 Lacs+","Rs 20,000  ~ 20 Thou+",Odisha
Kousika Suna,BSP,0,Graduate,41,"Rs 9,96,500  ~ 9 Lacs+",Rs 0  ~,Odisha
Kulamani Urma,IND,0,10th Pass,50,"Rs 50,159  ~ 50 Thou+",Rs 0  ~,Odisha
Lalita Kumar Nayak,BSP,0,Graduate Professional,50,,,Odisha
Lalmohan Hansdah,Akhil Bharat Hindu Mahasabha,0,10th Pass,63,"Rs 25,50,000  ~ 25 Lacs+","Rs 2,00,000  ~ 2 Lacs+",Odisha
Laxmipriya Jena,Kalinga Sena,0,Post Graduate,27,"Rs 74,000  ~ 74 Thou+",Rs 0  ~,Odisha
M D Nizamuddin,IND,1,8th Pass,34,"Rs 13,60,674  ~ 13 Lacs+",Rs 0  ~,Odisha
Madhu Sudan Yadav,IND,0,Graduate,69,"Rs 29,27,324  ~ 29 Lacs+","Rs 1,81,466  ~ 1 Lacs+",Odisha
Madhumita Sethi,INC,0,Post Graduate,42,,,Odisha
Mahameghabahan Aira Kharabela Swain,BJP,0,Post Graduate,66,"Rs 94,15,000  ~ 94 Lacs+","Rs 10,50,000  ~ 10 Lacs+",Odisha
Mahesh Sahoo,BJD,1,12th Pass,58,"Rs 1,45,29,286  ~ 1 Crore+",Rs 0  ~,Odisha
Manas Jena,INC,0,Post Graduate,50,"Rs 1,38,61,925  ~ 1 Crore+","Rs 27,60,000  ~ 27 Lacs+",Odisha
Manasi Swain,SUCI(C),1,Post Graduate,36,"Rs 28,44,930  ~ 28 Lacs+","Rs 20,25,000  ~ 20 Lacs+",Odisha
Mandakini Sethi,CPI(ML)(L),0,12th Pass,53,,,Odisha
Manjulata Mandal,BJD,0,Graduate,42,"Rs 3,94,17,891  ~ 3 Crore+","Rs 89,58,149  ~ 89 Lacs+",Odisha
Manoj Kumar Acharya,INC,0,Graduate,37,"Rs 53,30,945  ~ 53 Lacs+",Rs 0  ~,Odisha
Miss Juspin Lakra,IND,3,10th Pass,48,"Rs 6,400  ~ 6 Thou+",Rs 0  ~,Odisha
Mohammed Alli,Ambedkar National Congress,0,Graduate,54,"Rs 2,13,21,310  ~ 2 Crore+",Rs 0  ~,Odisha
Mohan Kumar Hembram,INC,0,Post Graduate,43,,,Odisha
Muralidhar Jena,BSP,0,Graduate,70,"Rs 38,65,000  ~ 38 Lacs+","Rs 1,60,000  ~ 1 Lacs+",Odisha
Mustukim,BSP,4,Illiterate,48,"Rs 11,55,000  ~ 11 Lacs+",Rs 0  ~,Odisha
Nabakishore Pradhan,SUCI(C),1,Graduate,51,"Rs 4,382  ~ 4 Thou+",Rs 0  ~,Odisha
Nalini Kanta Pradhan,BJD,0,Post Graduate,61,"Rs 7,56,51,064  ~ 7 Crore+","Rs 22,59,000  ~ 22 Lacs+",Odisha
Nanda Kishore Kisku,IND,0,Post Graduate,70,,,Odisha
Navajyoti Patnaik,INC,0,Graduate Professional,46,"Rs 1,04,20,05,000  ~ 104 Crore+","Rs 1,07,95,82,000  ~ 107 Crore+",Odisha
Nitesh Ganga Deb,BJP,1,12th Pass,47,"Rs 26,95,43,587  ~ 26 Crore+","Rs 1,03,37,195  ~ 1 Crore+",Odisha
Nrusingha Charan Das,BSP,0,Graduate,71,"Rs 10,10,000  ~ 10 Lacs+","Rs 4,70,000  ~ 4 Lacs+",Odisha
Panchanan Kanungo,INC,1,Post Graduate,67,"Rs 87,39,577  ~ 87 Lacs+","Rs 1,52,000  ~ 1 Lacs+",Odisha
Parbati Purty,IND,0,Post Graduate,47,,,Odisha
Peeyuush Das,Ambedkarite Party of India,0,Graduate,37,"Rs 6,01,000  ~ 6 Lacs+","Rs 50,000  ~ 50 Thou+",Odisha
Pinaki Misra,BJD,0,Graduate Professional,59,"Rs 1,17,47,01,344  ~ 117 Crore+","Rs 2,19,32,742  ~ 2 Crore+",Odisha
Pitamber Sethi,IND,0,10th Pass,62,"Rs 2,01,448  ~ 2 Lacs+",Rs 0  ~,Odisha
Prabhat Kumar Dharua,Gondvana Gantantra Party,0,12th Pass,64,"Rs 66,000  ~ 66 Thou+",Rs 0  ~,Odisha
Pradeep Kumar Debta,INC,5,Graduate,51,,,Odisha
Pradeep Kumar Majhi,INC,10,Graduate,43,"Rs 23,47,000  ~ 23 Lacs+",Rs 0  ~,Odisha
Pradyumna Kumar Naik,BSP,0,Graduate Professional,43,"Rs 4,05,000  ~ 4 Lacs+",Rs 0  ~,Odisha
Prafulla Nayak,AIFB,0,Graduate,41,"Rs 7,66,500  ~ 7 Lacs+",Rs 0  ~,Odisha
Prakash Mishra,BJP,0,Post Graduate,63,"Rs 9,31,02,541  ~ 9 Crore+",Rs 0  ~,Odisha
Pramila Behera,CPI(ML) Red Star,0,Graduate,42,,,Odisha
Pramila Bisoyi,BJD,0,5th Pass,70,"Rs 7,32,470  ~ 7 Lacs+",Rs 0  ~,Odisha
Pramod Kumar Mallick,BSP,0,Graduate,46,"Rs 1,09,000  ~ 1 Lacs+",Rs 0  ~,Odisha
Prasanna Acharya,BJD,0,Graduate Professional,69,"Rs 9,00,51,634  ~ 9 Crore+","Rs 32,27,600  ~ 32 Lacs+",Odisha
Pratap Chandra Sarangi,BJP,7,Graduate,64,"Rs 13,46,236  ~ 13 Lacs+",Rs 160  ~ 1 Hund+,Odisha
Pratima Mallick,INC,0,Post Graduate,56,,,Odisha
Premananda Bag,BSP,0,Graduate,62,"Rs 67,24,123  ~ 67 Lacs+",Rs 0  ~,Odisha
Priyabrata Garnaik,Hindusthan Nirman Dal,2,Post Graduate,39,"Rs 41,98,300  ~ 41 Lacs+","Rs 3,20,000  ~ 3 Lacs+",Odisha
Purna Chandra Nayak,BSP,0,Graduate,29,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,Odisha
Puspendra Singh Deo,BJD,0,10th Pass,52,"Rs 2,58,84,601  ~ 2 Crore+","Rs 4,56,763  ~ 4 Lacs+",Odisha
Rabindra Kumar Jena,BJD,0,Others,51,,,Odisha
Rabindra Nath Behera,SP,1,Post Graduate,54,"Rs 6,46,016  ~ 6 Lacs+","Rs 14,01,000  ~ 14 Lacs+",Odisha
Rabindra Nath Singh,IND,0,Post Graduate,59,"Rs 49,60,050  ~ 49 Lacs+","Rs 32,62,500  ~ 32 Lacs+",Odisha
Raja Kamakhya Prasad Singh Deo,INC,0,12th Pass,77,"Rs 15,41,00,240  ~ 15 Crore+",Rs 0  ~,Odisha
Rajakishore Mallik,SUCI(C),0,Post Graduate,52,"Rs 1,01,187  ~ 1 Lacs+",Rs 0  ~,Odisha
Rajashree Mallick,BJD,0,Graduate Professional,55,,,Odisha
Rajeeb Chandra Khadanga,AIFB,1,Graduate,45,"Rs 14,76,096  ~ 14 Lacs+","Rs 3,66,000  ~ 3 Lacs+",Odisha
Rajendra Kendruka,CPI(ML) Red Star,1,5th Pass,27,Rs 565  ~ 5 Hund+,Rs 0  ~,Odisha
Rama Krushna Panda,CPI,1,Post Graduate,47,"Rs 3,29,980  ~ 3 Lacs+",Rs 0  ~,Odisha
Ramakanta Panda,Purvanchal Janta Party (Secular),0,Post Graduate,39,"Rs 27,00,000  ~ 27 Lacs+",Rs 0  ~,Odisha
Ramanath Barik,IND,0,12th Pass,72,,,Odisha
Ramchandra Singh,BSP,0,Graduate,34,"Rs 16,33,409  ~ 16 Lacs+","Rs 5,55,000  ~ 5 Lacs+",Odisha
Ramesh Chandra Majhi,BJD,0,Graduate,40,"Rs 81,00,600  ~ 81 Lacs+","Rs 7,71,000  ~ 7 Lacs+",Odisha
Ramesh Laguri,Bahujan Mukti Party,0,Post Graduate,35,"Rs 6,66,227  ~ 6 Lacs+",Rs 0  ~,Odisha
Rana Nag,BSP,0,Graduate,66,"Rs 1,15,00,000  ~ 1 Crore+",Rs 0  ~,Odisha
Ranjan Kumar Mishra,CPI(ML) Red Star,0,10th Pass,40,,,Odisha
Ranjan Kumar Sahoo,Bhartiya Manvadhikaar Federal Party,0,Graduate Professional,49,"Rs 5,92,931  ~ 5 Lacs+",Rs 0  ~,Odisha
Ranjit Malik,Bahujan Mukti Party,1,Graduate,50,"Rs 25,95,147  ~ 25 Lacs+","Rs 7,02,386  ~ 7 Lacs+",Odisha
Rudranarayan Pany,BJP,7,Graduate,59,"Rs 36,28,704  ~ 36 Lacs+",Rs 0  ~,Odisha
Sabyasachi Mohapatra,Kalinga Sena,0,Graduate Professional,45,"Rs 14,99,361  ~ 14 Lacs+","Rs 56,960  ~ 56 Thou+",Odisha
Samarendra Mishra,INC,0,Post Graduate,45,,,Odisha
Sambit Patra,BJP,1,Post Graduate,45,"Rs 72,02,976  ~ 72 Lacs+","Rs 11,97,946  ~ 11 Lacs+",Odisha
Sanjaya Kumar Sahoo,IND,0,Graduate,34,"Rs 11,08,850  ~ 11 Lacs+",Rs 0  ~,Odisha
Sanjaya Kumar Sahoo,IND,0,Graduate,34,"Rs 21,08,850  ~ 21 Lacs+",Rs 0  ~,Odisha
Sankar Sahu,CPI(ML) Red Star,0,Post Graduate,43,"Rs 5,41,935  ~ 5 Lacs+",Rs 0  ~,Odisha
Santosh Kumar Das,IND,0,10th Pass,36,,,Odisha
Santosh Kumar Patra,IND,0,12th Pass,43,"Rs 4,92,317  ~ 4 Lacs+",Rs 0  ~,Odisha
Santoshini Karna,Ambedkar National Congress,0,10th Pass,45,"Rs 1,47,94,644  ~ 1 Crore+","Rs 45,00,000  ~ 45 Lacs+",Odisha
Saptagiri Sankar Ulaka,INC,0,Graduate Professional,40,"Rs 3,75,87,560  ~ 3 Crore+","Rs 12,17,963  ~ 12 Lacs+",Odisha
Sarat Pattanayak,INC,0,Graduate Professional,62,"Rs 5,94,24,606  ~ 5 Crore+","Rs 7,03,915  ~ 7 Lacs+",Odisha
Sarmistha Sethi,BJD,0,Post Graduate,45,,,Odisha
Saroj Kumar Panda,IND,0,Graduate,48,"Rs 2,38,072  ~ 2 Lacs+",Rs 0  ~,Odisha
Saroj Kumar Satpathy,Samata Kranti Dal,0,Graduate,47,"Rs 96,702  ~ 96 Thou+",Rs 0  ~,Odisha
Sasmita Das,IND,0,Post Graduate,41,"Rs 15,31,942  ~ 15 Lacs+","Rs 5,31,002  ~ 5 Lacs+",Odisha
Satya Prakash Nayak,INC,4,Post Graduate,51,"Rs 1,32,57,059  ~ 1 Crore+","Rs 1,38,069  ~ 1 Lacs+",Odisha
Smt. Sangeeta Kumari Singh Deo,BJP,0,Graduate,57,,,Odisha
Somanath Behera,SUCI(C),0,Post Graduate,40,"Rs 37,000  ~ 37 Thou+",Rs 0  ~,Odisha
Somiya Ranjan Das,Bharat Prabhat Party,0,Graduate,31,"Rs 6,99,000  ~ 6 Lacs+","Rs 7,40,000  ~ 7 Lacs+",Odisha
Srihari Patnaik,Odisha Pragati Dal,0,8th Pass,61,"Rs 3,77,792  ~ 3 Lacs+",Rs 0  ~,Odisha
Srikanta Samal,Krupaa Party,0,Graduate Professional,40,"Rs 29,79,883  ~ 29 Lacs+","Rs 6,00,000  ~ 6 Lacs+",Odisha
Subasa Chandra Malik,SUCI(C),0,Post Graduate,52,,,Odisha
Subhash,Pragatishil Samajwadi Party (Lohia),0,Graduate,26,"Rs 7,000  ~ 7 Thou+",Rs 0  ~,Odisha
Subhranshu Sekhar Padhi,AITC,3,Others,43,"Rs 2,03,88,994  ~ 2 Crore+","Rs 88,01,273  ~ 88 Lacs+",Odisha
Sunakar Behera,Jai Prakash Janata Dal,0,Post Graduate,66,"Rs 1,31,65,120  ~ 1 Crore+",Rs 0  ~,Odisha
Sunita Biswal,BJD,0,Graduate,39,"Rs 1,91,17,337  ~ 1 Crore+","Rs 7,73,540  ~ 7 Lacs+",Odisha
Suresh Kumar Putel,Bahujan Mukti Party,0,Graduate,43,,,Odisha
Suresh Pujari,BJP,0,Post Graduate,58,"Rs 1,16,73,429  ~ 1 Crore+",Rs 0  ~,Odisha
Susil Kumar Jena,IND,0,Post Graduate,53,"Rs 30,09,216  ~ 30 Lacs+",Rs 0  ~,Odisha
