Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
Nilam Rani Pal,Rashtriya Shoshit Samaj Party,0,Literate,43,"Rs 9,75,900  ~ 9 Lacs+","Rs 85,000  ~ 85 Thou+",Uttarakhand
Niraj Kumar,Akhil Bhartiya Parivar Party,0,Graduate,39,"Rs 86,85,000  ~ 86 Lacs+",Rs 0  ~,Uttarakhand
Niranjan Jyoti,BJP,0,12th Pass,57,,,Uttarakhand
Nirdosh Kumar Dixit,BSP,1,Post Graduate,42,"Rs 1,86,44,896  ~ 1 Crore+","Rs 9,60,000  ~ 9 Lacs+",Uttarakhand
Nirmod Kumar Singh,Bhartiya Shakti Chetna Party,0,10th Pass,48,"Rs 73,57,480  ~ 73 Lacs+","Rs 13,50,000  ~ 13 Lacs+",Uttarakhand
Nisha Patel,Sardar Patel Siddhant Party,0,Graduate,26,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,Uttarakhand
Nitin Mohan,IND,0,Post Graduate,46,"Rs 1,19,38,766  ~ 1 Crore+",Rs 0  ~,Uttarakhand
Nusrat Ansari,IND,0,Post Graduate,31,,,Uttarakhand
Om Kumar,BJP,0,12th Pass,54,"Rs 19,05,29,979  ~ 19 Crore+",Rs 0  ~,Uttarakhand
Om Nath Singh,Rashtriya Shoshit Samaj Party,0,12th Pass,41,"Rs 17,00,000  ~ 17 Lacs+",Rs 0  ~,Uttarakhand
Om Prakash,IND,0,10th Pass,58,"Rs 16,32,000  ~ 16 Lacs+","Rs 80,000  ~ 80 Thou+",Uttarakhand
Ombeer,Azad Adhikar Sena,0,8th Pass,54,"Rs 13,95,510  ~ 13 Lacs+","Rs 8,55,000  ~ 8 Lacs+",Uttarakhand
Omkar,IND,0,10th Pass,38,,,Uttarakhand
Onkar Singh,Bharatiya Bahujan Samta Party,0,Graduate Professional,47,"Rs 4,06,55,000  ~ 4 Crore+","Rs 1,15,000  ~ 1 Lacs+",Uttarakhand
Pancha Alias Panchamlal,Bhagidari Party(P),1,Literate,41,"Rs 36,20,000  ~ 36 Lacs+",Rs 0  ~,Uttarakhand
Pankaj Awasthi,IND,0,Others,43,"Rs 33,82,900  ~ 33 Lacs+",Rs 0  ~,Uttarakhand
Pankaj Chaudhary,BJP,0,12th Pass,59,"Rs 41,90,10,509  ~ 41 Crore+","Rs 3,82,47,129  ~ 3 Crore+",Uttarakhand
Pankaj Dubey,Log Party,0,Post Graduate,41,,,Uttarakhand
Pankaj Kumar Yadav,IND,0,Post Graduate,35,"Rs 8,15,000  ~ 8 Lacs+",Rs 0  ~,Uttarakhand
Parag Kaushik,IND,0,Graduate,39,"Rs 30,19,632  ~ 30 Lacs+","Rs 1,71,353  ~ 1 Lacs+",Uttarakhand
Paras Yadav,Jan Raajya Party,0,Post Graduate,45,"Rs 5,36,900  ~ 5 Lacs+",Rs 0  ~,Uttarakhand
Parmeshwar Lal Saini,BJP,0,10th Pass,70,"Rs 14,01,58,612  ~ 14 Crore+","Rs 1,05,39,679  ~ 1 Crore+",Uttarakhand
Pars Nath Rai,BJP,1,Post Graduate,69,,,Uttarakhand
Pavan Kumar,Log Party,3,12th Pass,43,"Rs 80,000  ~ 80 Thou+",Rs 0  ~,Uttarakhand
Pawan Kumar Chauhan,IND,0,Others,31,"Rs 12,85,000  ~ 12 Lacs+","Rs 80,000  ~ 80 Thou+",Uttarakhand
Pintu Sahani,IND,3,Post Graduate,30,"Rs 22,46,203  ~ 22 Lacs+",Rs 0  ~,Uttarakhand
Pooja,IND,0,8th Pass,29,"Rs 3,21,303  ~ 3 Lacs+",Rs 0  ~,Uttarakhand
Pooja Amrohi,BSP,0,Graduate,50,,,Uttarakhand
Pooja Saxena,Right to Recall Party,0,Graduate,31,"Rs 33,037  ~ 33 Thou+",Rs 0  ~,Uttarakhand
Prabhudayal,Rashtriya Samaj Dal (R),0,12th Pass,70,"Rs 37,50,000  ~ 37 Lacs+",Rs 0  ~,Uttarakhand
Pradeep Jain (Aditya),INC,6,Post Graduate,62,"Rs 3,74,27,692  ~ 3 Crore+","Rs 3,27,536  ~ 3 Lacs+",Uttarakhand
Pradeep Kumar,BJP,5,Post Graduate,53,"Rs 2,55,64,752  ~ 2 Crore+","Rs 12,18,681  ~ 12 Lacs+",Uttarakhand
Pradeep Kumar,IND,0,Graduate,33,,,Uttarakhand
Pradeep Kumar,IND,0,Graduate,36,"Rs 2,40,887  ~ 2 Lacs+",Rs 0  ~,Uttarakhand
Pradeep Kumar,IND,0,Graduate,35,"Rs 11,85,000  ~ 11 Lacs+",Rs 0  ~,Uttarakhand
Pradeep Kumar,Bhartiya Krishak Dal,0,12th Pass,40,"Rs 11,01,000  ~ 11 Lacs+","Rs 3,00,000  ~ 3 Lacs+",Uttarakhand
Pragyesh Kumar,IND,0,Post Graduate,36,"Rs 1,47,85,855  ~ 1 Crore+","Rs 13,00,000  ~ 13 Lacs+",Uttarakhand
Prakash Kumar,IND,0,Graduate Professional,39,,,Uttarakhand
Pramod Azad,Apna Dal (Kamerawadi),3,Graduate,39,"Rs 46,42,500  ~ 46 Lacs+",Rs 0  ~,Uttarakhand
Pramod Bhai Patel Alias P.K.,IND,0,Graduate Professional,42,"Rs 15,00,000  ~ 15 Lacs+",Rs 0  ~,Uttarakhand
Pramod Bhai Patel Urf P K,Sardar Patel Siddhant Party,0,Graduate Professional,42,"Rs 31,98,000  ~ 31 Lacs+",Rs 0  ~,Uttarakhand
Pramod Kumar,IND,0,Graduate,36,"Rs 32,83,000  ~ 32 Lacs+",Rs 0  ~,Uttarakhand
Pramod Kumar,IND,0,Graduate,37,,,Uttarakhand
Pramod Kumar,IND,0,10th Pass,49,"Rs 10,62,100  ~ 10 Lacs+",Rs 0  ~,Uttarakhand
Pramod Kumar Yadav,Bhartiya Krishak Dal,0,Post Graduate,50,"Rs 53,79,000  ~ 53 Lacs+",Rs 0  ~,Uttarakhand
Prashast Dheer,All India Forward Bloc,0,Graduate Professional,33,"Rs 3,74,000  ~ 3 Lacs+",Rs 0  ~,Uttarakhand
Prathmesh Mishra,BSP,0,Graduate Professional,33,"Rs 16,14,84,396  ~ 16 Crore+",Rs 0  ~,Uttarakhand
Praveen Bansal,BSP,1,Post Graduate,43,,,Uttarakhand
Praveen Patel,BJP,0,Post Graduate,45,"Rs 64,91,73,761  ~ 64 Crore+","Rs 3,78,27,458  ~ 3 Crore+",Uttarakhand
Praveen Singh Aron,SP,0,Graduate Professional,66,"Rs 1,82,85,24,671  ~ 182 Crore+","Rs 28,61,333  ~ 28 Lacs+",Uttarakhand
Praveshanand Puri,IND,0,5th Pass,63,"Rs 6,000  ~ 6 Thou+",Rs 0  ~,Uttarakhand
Pravin Kumar Nishad,BJP,0,Graduate Professional,35,"Rs 3,31,11,653  ~ 3 Crore+","Rs 38,60,898  ~ 38 Lacs+",Uttarakhand
Prem Chand,Pragatisheel Manav Samaj Party,0,Graduate Professional,29,,,Uttarakhand
Prem Dutt,Rashtra Uday Party,0,Graduate,48,"Rs 16,97,295  ~ 16 Lacs+","Rs 4,15,697  ~ 4 Lacs+",Uttarakhand
Prem Kumar,Moulik Adhikar Party,2,Post Graduate,30,"Rs 1,30,000  ~ 1 Lacs+","Rs 10,808  ~ 10 Thou+",Uttarakhand
Prem Pal Sagar,Vanchitsamaj Insaaf Party,0,8th Pass,46,"Rs 11,41,500  ~ 11 Lacs+",Rs 0  ~,Uttarakhand
Premchand Bind,Pragatisheel Manav Samaj Party,1,Graduate Professional,55,"Rs 12,49,953  ~ 12 Lacs+",Rs 0  ~,Uttarakhand
Premchand Nayak,IND,0,Graduate,31,,,Uttarakhand
Premchandra Harijan,Sardar Patel Siddhant Party,0,Post Graduate,39,"Rs 12,30,000  ~ 12 Lacs+",Rs 0  ~,Uttarakhand
Premchandra Harijan,Sardar Patel Siddhant Party,0,Post Graduate,39,"Rs 2,11,000  ~ 2 Lacs+",Rs 0  ~,Uttarakhand
Premlata Verma,IND,0,Graduate Professional,33,"Rs 29,05,118  ~ 29 Lacs+","Rs 1,40,000  ~ 1 Lacs+",Uttarakhand
Priti Kashyap,Rashtriya Mazdoor Ekta Party,0,12th Pass,32,"Rs 37,40,000  ~ 37 Lacs+",Rs 0  ~,Uttarakhand
Priya Saroj,SP,2,Graduate Professional,25,,,Uttarakhand
Prof S P Singh Baghel,BJP,0,Doctorate,63,"Rs 10,43,58,691  ~ 10 Crore+","Rs 51,70,325  ~ 51 Lacs+",Uttarakhand
Prof. (Dr.) Ram Ghulam Razdan,Public Adhikar Socialist Indian Party,0,Graduate Professional,68,"Rs 1,62,62,511  ~ 1 Crore+","Rs 15,00,000  ~ 15 Lacs+",Uttarakhand
Pt. Ramniwas Sharma,BSP,0,Graduate,68,"Rs 1,89,79,439  ~ 1 Crore+","Rs 84,000  ~ 84 Thou+",Uttarakhand
Purushottam Tiwari,IND,0,Graduate Professional,40,"Rs 6,01,000  ~ 6 Lacs+",Rs 0  ~,Uttarakhand
Pushpendra Kumar Saroj,IND,0,Graduate,30,,,Uttarakhand
Pushpendra Saroj,SP,0,Graduate,25,"Rs 1,52,31,655  ~ 1 Crore+","Rs 50,00,000  ~ 50 Lacs+",Uttarakhand
Qamar Hayat,BSP,2,12th Pass,70,"Rs 1,85,04,351  ~ 1 Crore+","Rs 6,31,586  ~ 6 Lacs+",Uttarakhand
R. K. Singh Patel,BJP,1,Graduate,64,"Rs 9,09,65,126  ~ 9 Crore+","Rs 20,35,061  ~ 20 Lacs+",Uttarakhand
R.K. Chaudhary,SP,2,Graduate Professional,65,"Rs 2,83,84,459  ~ 2 Crore+",Rs 0  ~,Uttarakhand
Rafik Ansari,IND,0,10th Pass,44,,,Uttarakhand
Raghav Lakhanpal,BJP,0,Post Graduate,49,"Rs 7,33,67,592  ~ 7 Crore+","Rs 4,90,00,000  ~ 4 Crore+",Uttarakhand
Raghavendra,Bhartiya Shakti Chetna Party,0,Graduate,48,"Rs 12,41,000  ~ 12 Lacs+",Rs 0  ~,Uttarakhand
Rahul Gandhi,INC,18,Post Graduate,53,"Rs 20,39,61,862  ~ 20 Crore+","Rs 49,79,184  ~ 49 Lacs+",Uttarakhand
Raj Bahadur,Peoples Party of India (Democratic),0,8th Pass,38,"Rs 7,31,500  ~ 7 Lacs+","Rs 66,800  ~ 66 Thou+",Uttarakhand
Raj Katheria,IND,0,Graduate Professional,40,,,Uttarakhand
Raj Kumar,Rashtriya Shoshit Samaj Party,1,12th Pass,40,"Rs 94,16,861  ~ 94 Lacs+","Rs 11,00,000  ~ 11 Lacs+",Uttarakhand
Raj Kumar Patel,Sardar Patel Siddhant Party,0,Graduate,44,"Rs 14,50,000  ~ 14 Lacs+",Rs 0  ~,Uttarakhand
Raj Narayan Patel,Sardar Patel Siddhant Party,3,Graduate,71,"Rs 40,61,000  ~ 40 Lacs+","Rs 1,75,000  ~ 1 Lacs+",Uttarakhand
Raj Nath Singh,BJP,0,Post Graduate,72,"Rs 7,36,84,617  ~ 7 Crore+",Rs 0  ~,Uttarakhand
Rajapal,Peoples Party of India (Democratic),0,12th Pass,54,,,Uttarakhand
Rajaram,IND,0,Illiterate,37,"Rs 2,72,430  ~ 2 Lacs+",Rs 0  ~,Uttarakhand
Rajaram Pal,SP,1,Graduate Professional,63,"Rs 2,20,38,799  ~ 2 Crore+","Rs 73,28,594  ~ 73 Lacs+",Uttarakhand
Rajdhar Singh Patel,Rashtriya Samaj Dal (R),0,Post Graduate,63,"Rs 4,79,00,000  ~ 4 Crore+","Rs 2,00,000  ~ 2 Lacs+",Uttarakhand
Rajeev Kumar Saxena,Bhartiya Krishak Dal,0,12th Pass,58,"Rs 2,74,00,000  ~ 2 Crore+",Rs 0  ~,Uttarakhand
Rajeev Mishra,Jai Hind National Party,0,Post Graduate,45,,,Uttarakhand
Rajeev Rai,SP,1,Doctorate,54,"Rs 49,41,88,267  ~ 49 Crore+","Rs 6,29,52,119  ~ 6 Crore+",Uttarakhand
Rajendra Agrawal,IND,0,Graduate,65,"Rs 2,39,65,968  ~ 2 Crore+",Rs 0  ~,Uttarakhand
Rajendra Chaudhary,IND,0,10th Pass,62,"Rs 6,06,682  ~ 6 Lacs+",Rs 0  ~,Uttarakhand
Rajendra Prasad,Rashtra Uday Party,3,12th Pass,56,"Rs 33,74,441  ~ 33 Lacs+","Rs 5,24,050  ~ 5 Lacs+",Uttarakhand
Rajendra Prasad Prajapati,Bhagidari Party(P),0,Graduate,31,,,Uttarakhand
Rajendra Ram,IND,1,Post Graduate,63,"Rs 4,00,34,033  ~ 4 Crore+",Rs 0  ~,Uttarakhand
Rajendra Singh Solanki,BSP,0,Post Graduate,69,"Rs 8,84,05,000  ~ 8 Crore+",Rs 0  ~,Uttarakhand
Rajendra Sonkar Alias Panna Bhaiya,IND,0,Graduate,43,"Rs 46,31,123  ~ 46 Lacs+","Rs 2,00,000  ~ 2 Lacs+",Uttarakhand
Rajendra Yadav Urf Colonel Sahab,Sarvjan Awaz Party,0,Post Graduate,62,"Rs 4,72,92,745  ~ 4 Crore+","Rs 7,92,921  ~ 7 Lacs+",Uttarakhand
Rajesh,IND,0,Graduate,46,,,Uttarakhand
Rajesh Kumar,Political Justice Party,1,12th Pass,47,"Rs 95,18,000  ~ 95 Lacs+",Rs 0  ~,Uttarakhand
Rajesh Kumar,IND,0,10th Pass,46,"Rs 1,14,93,926  ~ 1 Crore+","Rs 14,25,000  ~ 14 Lacs+",Uttarakhand
Rajesh Kumar,BSP,5,12th Pass,37,"Rs 87,64,850  ~ 87 Lacs+",Rs 0  ~,Uttarakhand
Rajesh Kumar Dwivedi,BSP,1,Literate,62,"Rs 5,01,84,324  ~ 5 Crore+","Rs 19,70,888  ~ 19 Lacs+",Uttarakhand
Rajesh Kumar Patel,Sardar Patel Siddhant Party,0,Graduate Professional,32,,,Uttarakhand
Rajesh Singh,IND,0,10th Pass,38,"Rs 2,71,570  ~ 2 Lacs+",Rs 0  ~,Uttarakhand
Rajesh Tureha,Rishivadi Karm Sheel Young Parmarthi Party,2,Illiterate,58,"Rs 12,97,000  ~ 12 Lacs+",Rs 0  ~,Uttarakhand
Rajesh Verma,BJP,0,Post Graduate,63,"Rs 9,40,39,115  ~ 9 Crore+","Rs 72,38,789  ~ 72 Lacs+",Uttarakhand
Rajesh Vishwakarma,Moulik Adhikar Party,0,12th Pass,41,"Rs 42,07,430  ~ 42 Lacs+",Rs 0  ~,Uttarakhand
Rajiv Kumar Singh,IND,0,Graduate,54,,,Uttarakhand
Rajkumar,IND,0,Graduate,47,"Rs 33,60,000  ~ 33 Lacs+","Rs 15,00,000  ~ 15 Lacs+",Uttarakhand
Rajkumar,IND,0,8th Pass,46,"Rs 9,73,538  ~ 9 Lacs+","Rs 1,50,000  ~ 1 Lacs+",Uttarakhand
Rajkumar Chahar,BJP,2,Graduate,56,"Rs 3,41,76,612  ~ 3 Crore+","Rs 19,64,321  ~ 19 Lacs+",Uttarakhand
Rajpal Singh,IND,0,12th Pass,64,"Rs 1,70,28,916  ~ 1 Crore+","Rs 90,000  ~ 90 Thou+",Uttarakhand
Rajrani Rawat,BJP,0,12th Pass,54,,,Uttarakhand
Rajveer,IND,1,10th Pass,57,"Rs 3,98,900  ~ 3 Lacs+",Rs 0  ~,Uttarakhand
Rajveer Singh (Raju Bhaiya),BJP,0,Graduate Professional,63,"Rs 39,23,82,732  ~ 39 Crore+",Rs 0  ~,Uttarakhand
Rakesh Kumar,IND,0,12th Pass,40,"Rs 42,80,000  ~ 42 Lacs+",Rs 0  ~,Uttarakhand
Rakesh Rathor,INC,1,Graduate,60,"Rs 4,21,07,005  ~ 4 Crore+","Rs 82,88,936  ~ 82 Lacs+",Uttarakhand
Ram Adhar Verma,Sardar Patel Siddhant Party,1,8th Pass,55,,,Uttarakhand
Ram Asrey,Manavtawadi Samaj Party,0,12th Pass,68,"Rs 52,86,000  ~ 52 Lacs+","Rs 1,50,000  ~ 1 Lacs+",Uttarakhand
Ram Bihari,Bhartiya Shakti Chetna Party,0,12th Pass,67,"Rs 88,03,826  ~ 88 Lacs+",Rs 0  ~,Uttarakhand
Ram Govind,Samajhdar Party,0,Graduate Professional,36,"Rs 94,21,448  ~ 94 Lacs+","Rs 7,88,248  ~ 7 Lacs+",Uttarakhand
Ram Karan Gautam,IND,0,12th Pass,73,"Rs 77,75,000  ~ 77 Lacs+",Rs 0  ~,Uttarakhand
Ram Krishna Dwivedi,IND,0,Graduate Professional,50,,,Uttarakhand
Ram Kumar Yadav,SUCI(C),0,Post Graduate,39,"Rs 1,686  ~ 1 Thou+",Rs 0  ~,Uttarakhand
Ram Milan,Sardar Patel Siddhant Party,0,12th Pass,36,"Rs 3,70,000  ~ 3 Lacs+",Rs 0  ~,Uttarakhand
Ram Milan,Sardar Patel Siddhant Party,0,10th Pass,36,"Rs 15,70,000  ~ 15 Lacs+","Rs 1,00,000  ~ 1 Lacs+",Uttarakhand
Ram Naresh,IND,0,Graduate,25,"Rs 71,25,000  ~ 71 Lacs+",Rs 0  ~,Uttarakhand
Ram Naresh Prajapati,Bhagidari Party(P),0,8th Pass,55,,,Uttarakhand
Ram Prakash Mishra,Rashtriya Samaj Paksha,0,Graduate,39,"Rs 1,63,55,000  ~ 1 Crore+",Rs 0  ~,Uttarakhand
Ram Prasad Chaudhary,SP,4,Others,70,"Rs 9,81,52,477  ~ 9 Crore+","Rs 37,45,441  ~ 37 Lacs+",Uttarakhand
Ram Pratap Maurya,IND,3,Graduate,39,"Rs 26,11,100  ~ 26 Lacs+","Rs 5,40,000  ~ 5 Lacs+",Uttarakhand
Ram Pyare,SUCI(C),0,Graduate Professional,44,"Rs 6,62,200  ~ 6 Lacs+",Rs 0  ~,Uttarakhand
Ram Pyare Sharan Vijaita,IND,0,Post Graduate,61,,,Uttarakhand
Ram Shiromani,Sardar Patel Siddhant Party,1,8th Pass,40,"Rs 12,54,000  ~ 12 Lacs+",Rs 0  ~,Uttarakhand
Ram Shiromani Verma,SP,0,Graduate Professional,48,"Rs 7,36,38,343  ~ 7 Crore+","Rs 1,00,000  ~ 1 Lacs+",Uttarakhand
Ram Ujagar,IND,0,Graduate,47,"Rs 37,70,083  ~ 37 Lacs+",Rs 0  ~,Uttarakhand
Ramashankar Rajbhar,SP,0,Graduate,63,"Rs 7,60,85,514  ~ 7 Crore+","Rs 10,00,000  ~ 10 Lacs+",Uttarakhand
Rambhual Nishad,SP,8,Graduate,64,,,Uttarakhand
Ramchandra Saras,CPI,0,Graduate,62,"Rs 88,15,000  ~ 88 Lacs+",Rs 0  ~,Uttarakhand
Ramchandra Singh,IND,0,Post Graduate,58,"Rs 56,14,762  ~ 56 Lacs+","Rs 4,75,000  ~ 4 Lacs+",Uttarakhand
Ramchran,IND,0,8th Pass,38,"Rs 6,10,000  ~ 6 Lacs+",Rs 0  ~,Uttarakhand
Ramdhan Singh,Majdoor Kisan Union Party,0,Graduate Professional,45,"Rs 42,37,000  ~ 42 Lacs+","Rs 47,000  ~ 47 Thou+",Uttarakhand
Ramdhani,Rashtriya Samaj Paksha,0,Post Graduate,70,,,Uttarakhand
Ramesh,IND,0,10th Pass,49,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~,Uttarakhand
Ramesh Awasthi,BJP,0,Post Graduate,56,"Rs 5,29,36,608  ~ 5 Crore+","Rs 61,48,728  ~ 61 Lacs+",Uttarakhand
Ramesh Balmiki,IND,0,Graduate,35,"Rs 2,74,102  ~ 2 Lacs+",Rs 0  ~,Uttarakhand
Ramesh Chand Bind,SP,1,8th Pass,50,"Rs 11,73,35,807  ~ 11 Crore+","Rs 3,63,94,844  ~ 3 Crore+",Uttarakhand
Ramesh Chandra,SP,1,Graduate,57,,,Uttarakhand
Ramesh Chandra Verma,Manav Kranti Party,0,Graduate Professional,44,"Rs 70,82,000  ~ 70 Lacs+",Rs 0  ~,Uttarakhand
Ramesh Kumar,IND,0,Post Graduate,52,"Rs 90,24,556  ~ 90 Lacs+","Rs 5,00,000  ~ 5 Lacs+",Uttarakhand
Ramesh Kumar Patel,BSP,3,10th Pass,47,"Rs 4,87,63,000  ~ 4 Crore+","Rs 15,80,000  ~ 15 Lacs+",Uttarakhand
Rameshwar Prasad,Bhartiya Shakti Chetna Party,0,5th Pass,65,"Rs 3,55,000  ~ 3 Lacs+",Rs 0  ~,Uttarakhand
Ramgopal,Rashtriya Janutthan Party,0,Post Graduate,66,,,Uttarakhand
Ramkishor,Rashtra Uday Party,0,5th Pass,61,"Rs 60,69,969  ~ 60 Lacs+",Rs 0  ~,Uttarakhand
Ramlakhan Pasi,IND,0,10th Pass,62,"Rs 81,10,000  ~ 81 Lacs+",Rs 0  ~,Uttarakhand
Ramnaresh Yadav,Jan Raajya Party,0,Post Graduate,39,"Rs 6,24,000  ~ 6 Lacs+",Rs 0  ~,Uttarakhand
Ramnath Singh Sikarwar,INC,17,Graduate,55,"Rs 69,92,919  ~ 69 Lacs+",Rs 0  ~,Uttarakhand
Ramnivas Gond,Gondvana Gantantra Party,1,5th Pass,69,,,Uttarakhand
Rampal,IND,0,12th Pass,50,"Rs 83,71,000  ~ 83 Lacs+",Rs 0  ~,Uttarakhand
Rampravesh,Moulik Adhikar Party,0,Graduate,39,"Rs 87,62,300  ~ 87 Lacs+",Rs 0  ~,Uttarakhand
Ramprit,IND,2,Literate,59,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Uttarakhand
Ramsamujh,BSP,0,Doctorate,74,"Rs 19,23,05,737  ~ 19 Crore+","Rs 2,33,84,964  ~ 2 Crore+",Uttarakhand
Ramsiddh Yadav Urf R.S.Yadav,Manavtawadi Samaj Party,0,Graduate,67,,,Uttarakhand
Ramvachan,Sardar Patel Siddhant Party,0,10th Pass,52,"Rs 45,95,000  ~ 45 Lacs+",Rs 0  ~,Uttarakhand
Ran Singh Dudee,Super Power India Party,0,Graduate,61,"Rs 7,92,68,500  ~ 7 Crore+",Rs 0  ~,Uttarakhand
Rang Bahadur,IND,0,Graduate Professional,51,"Rs 2,35,000  ~ 2 Lacs+",Rs 0  ~,Uttarakhand
Ranjana,IND,0,8th Pass,44,"Rs 1,56,31,211  ~ 1 Crore+",Rs 0  ~,Uttarakhand
Rashid Khan,IND,0,10th Pass,59,,,Uttarakhand
Rashmi Kant,Parivartan Samaj Party,0,Graduate,37,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Uttarakhand
Ravi Kant Singh Alias Ravi Patel,Sardar Patel Siddhant Party,0,12th Pass,34,"Rs 11,00,000  ~ 11 Lacs+",Rs 0  ~,Uttarakhand
Ravi Kumar,IND,0,Literate,37,"Rs 21,000  ~ 21 Thou+",Rs 0  ~,Uttarakhand
Ravi Kumar,Sardar Patel Siddhant Party,0,Graduate,35,"Rs 43,00,000  ~ 43 Lacs+",Rs 0  ~,Uttarakhand
Ravi Kumar Panchal,IND,0,8th Pass,43,,,Uttarakhand
Ravi Prakash,BSP,3,Graduate,34,"Rs 22,00,299  ~ 22 Lacs+","Rs 9,03,480  ~ 9 Lacs+",Uttarakhand
Ravi Verma,IND,0,12th Pass,28,"Rs 5,52,673  ~ 5 Lacs+",Rs 0  ~,Uttarakhand
Ravidas Mehrotra,SP,18,Graduate Professional,69,"Rs 1,18,50,112  ~ 1 Crore+","Rs 88,480  ~ 88 Thou+",Uttarakhand
Ravindar Kushawaha,BJP,0,12th Pass,60,"Rs 2,94,66,516  ~ 2 Crore+",Rs 0  ~,Uttarakhand
Ravindra Nath Sharma,Moulik Adhikar Party,0,12th Pass,61,,,Uttarakhand
Ravindra Shukla Alias Ravi Kishan,BJP,0,12th Pass,55,"Rs 43,32,35,340  ~ 43 Crore+","Rs 1,78,14,634  ~ 1 Crore+",Uttarakhand
Rekha Verma,BJP,0,12th Pass,50,"Rs 6,00,81,280  ~ 6 Crore+","Rs 10,53,617  ~ 10 Lacs+",Uttarakhand
Reshu Sharma,IND,0,12th Pass,34,"Rs 23,53,856  ~ 23 Lacs+","Rs 12,25,000  ~ 12 Lacs+",Uttarakhand
Rinki Singh,Apna Dal (Soneylal),0,Graduate,36,"Rs 1,77,40,511  ~ 1 Crore+",Rs 0  ~,Uttarakhand
Rinku Sahani,Rashtra Dharak Dal,0,Graduate,30,,,Uttarakhand
Rishi Patel,Apna Dal (Kamerawadi),0,Graduate Professional,32,"Rs 15,98,000  ~ 15 Lacs+",Rs 0  ~,Uttarakhand
Ritesh Pandey,BJP,0,Graduate,43,"Rs 37,22,35,887  ~ 37 Crore+","Rs 5,97,75,501  ~ 5 Crore+",Uttarakhand
Rohtash Kashyap,Jan Shakti Ekta Party,0,Post Graduate,40,"Rs 1,37,80,184  ~ 1 Crore+","Rs 46,97,689  ~ 46 Lacs+",Uttarakhand
Roli Gupta,Akhil Bhartiya Hamara Samaj Party,0,8th Pass,34,"Rs 53,24,000  ~ 53 Lacs+","Rs 1,80,000  ~ 1 Lacs+",Uttarakhand
Ruby Kashyap,Sarvjan Lok Shakti Party,0,Graduate,37,,,Uttarakhand
Ruchi Vira,SP,0,Graduate,62,"Rs 28,05,88,320  ~ 28 Crore+",Rs 0  ~,Uttarakhand
S. L.Singh,Peoples Party of India (Democratic),0,Post Graduate,59,"Rs 94,30,500  ~ 94 Lacs+",Rs 0  ~,Uttarakhand
Sachidanand Pandey,BSP,0,Graduate,33,"Rs 1,89,29,015  ~ 1 Crore+",Rs 0  ~,Uttarakhand
Sadal Prasad,INC,0,Post Graduate,67,"Rs 1,18,19,450  ~ 1 Crore+",Rs 0  ~,Uttarakhand
Saddam Hussain,IND,0,Graduate,32,,,Uttarakhand
Sadhna Singh,IND,0,Graduate,64,"Rs 16,14,10,582  ~ 16 Crore+","Rs 6,00,000  ~ 6 Lacs+",Uttarakhand
Saif Khan,Parcham Party of India,0,8th Pass,34,"Rs 8,80,000  ~ 8 Lacs+",Rs 0  ~,Uttarakhand
Saiyyad Sarfaraz Gandhi,IND,0,Graduate,29,"Rs 10,57,981  ~ 10 Lacs+","Rs 1,75,071  ~ 1 Lacs+",Uttarakhand
Sakasen,Sardar Patel Siddhant Party,0,Graduate,52,"Rs 1,65,500  ~ 1 Lacs+",Rs 0  ~,Uttarakhand
Saket Misra,BJP,0,Post Graduate,52,,,Uttarakhand
Sameer Singh,All India Forward Bloc,1,Graduate Professional,31,"Rs 71,34,997  ~ 71 Lacs+",Rs 0  ~,Uttarakhand
Samrendra Kumar,IND,0,Post Graduate,32,"Rs 17,05,000  ~ 17 Lacs+","Rs 2,90,000  ~ 2 Lacs+",Uttarakhand
Sanatan Pandey,SP,2,Others,61,"Rs 2,49,50,786  ~ 2 Crore+","Rs 6,24,502  ~ 6 Lacs+",Uttarakhand
Sandeep Kumar,IND,0,12th Pass,42,"Rs 76,93,353  ~ 76 Lacs+","Rs 43,68,282  ~ 43 Lacs+",Uttarakhand
Sandeep Singh,National Jan Dal,0,12th Pass,40,,,Uttarakhand
Sandesh,BSP,0,Graduate,46,"Rs 40,90,511  ~ 40 Lacs+",Rs 0  ~,Uttarakhand
Sandhya Jaiswal,Parivartan Samaj Party,0,Post Graduate,31,"Rs 5,73,585  ~ 5 Lacs+",Rs 0  ~,Uttarakhand
Sangam Lal Gupta,BJP,2,8th Pass,52,"Rs 39,49,32,229  ~ 39 Crore+","Rs 1,65,345  ~ 1 Lacs+",Uttarakhand
Sangeeta Tomar,Bharatiya Majdoor Janta Party,0,Literate,47,"Rs 1,66,80,000  ~ 1 Crore+","Rs 62,708  ~ 62 Thou+",Uttarakhand
Sangeeta Yadav,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,32,,,Uttarakhand
Sangita Rajvanshi,SP,0,10th Pass,41,"Rs 4,96,45,031  ~ 4 Crore+",Rs 0  ~,Uttarakhand
